"alewife 4, TL= 72 mm"
"caudal fish length mm =" 55
"fish mass g =" 999
"number of swimbladder chambers=" 1
"x, z-upper, z-lower, width"
"fish body"
9
2.4,	0.7,	-4.4,	3.5,
11.5,	2.1,	-10.6,	4.7,
17.8,	2.4,	-12.1,	6.1,
22.5,	2.8,	-13.6,	7.9,
29.3,	2.8,	-12.9,	6.1,
36.1,	2.8,	-11.7,	5.4,
43.6,	1.7,	-9.6,	4.2,
51.0,	1.4,	-6.2,	4.2,
55.7,	1.7,	-5.9,	2.4,
62.9,	1.0,	-5.4,	1.5,
"swimbladder"			
6			
16.8,	-0.4,	-2.3,	2.5,
20.2,	-0.4,	-4.8,	4.9,
24.9,	-0.8,	-7.0,	4.9,
27.4,	-0.8,	-7.0,	4.9,
32.1,	-1.1,	-6.8,	4.9,
37.9,	-1.9,	-4.0,	3.5,
40.4	-2.2,	-4.1,	1.9,
 "from x-radiography, Buff. State March 1997"
