"Chinook Salmon, Kenai River, Oct. 1998"
"total fish length mm =" 775
"fish mass g =" 00
"number of swimbladder chambers=" 1
"x,   z-upper,   z-lower,   width"
"fish body"
         775
      0.00000      0.00000      0.00000      0.00000
      1.00000      4.18343     -7.29432      11.7958
      2.00000      6.14364     -11.5189      19.5810
      3.00000      7.00664     -13.5613      24.6138
      4.00000      8.04223     -15.4023      28.6244
      5.00000      9.25042     -17.2721      32.0059
      6.00000      10.2572     -18.5091      35.9378
      7.00000      10.8613     -19.3145      40.4988
      8.00000      11.2640     -20.1200      44.4307
      9.00000      11.8969     -20.9254      47.7336
      10.0000      12.7599     -21.7597      50.4859
      11.0000      13.3928     -22.4213      53.8674
      12.0000      13.9969     -22.8528      58.9789
      13.0000      14.8023     -23.4569      62.9108
      14.0000      15.4064     -24.2623      65.6631
      15.0000      16.0105     -25.0678      70.1455
      16.0000      16.6146     -25.8732      74.7065
      17.0000      17.0173     -26.4773      77.5376
      18.0000      17.6502     -26.8801      80.3686
      19.0000      18.3118     -27.2828      83.8287
      20.0000      18.7433     -27.7143      87.7606
      21.0000      19.1460     -28.1746      91.6138
      22.0000      19.3474     -28.6060      94.9167
      23.0000      19.7501     -29.2101      98.2195
      24.0000      20.5556     -30.0156      100.972
      25.0000      20.9583     -30.8211      103.724
      26.0000      21.1597     -31.4252      107.735
      27.0000      21.5624     -31.8279      111.903
      28.0000      21.7638     -32.4320      114.812
      29.0000      21.7638     -33.0361      117.565
      30.0000      21.7638     -33.4676      121.418
      31.0000      21.7638     -34.1292      124.721
      32.0000      21.9651     -34.9634      126.372
      33.0000      22.3679     -35.7689      128.023
      34.0000      22.5692     -36.5743      130.776
      35.0000      22.5692     -37.3798      133.528
      36.0000      22.7706     -38.1852      135.730
      37.0000      23.1733     -39.0194      137.932
      38.0000      23.3747     -39.8824      140.291
      39.0000      23.3747     -40.7167      143.358
      40.0000      23.3747     -41.3208      146.268
      41.0000      23.3747     -41.5221      147.919
      42.0000      23.3747     -41.7235      149.570
      43.0000      23.6048     -42.3276      152.323
      44.0000      24.0651     -43.3344      155.075
      45.0000      24.4966     -44.3412      157.277
      46.0000      24.8993     -44.9741      159.479
