"Finite Cylinder 70 mm length, 10 mm radius"
"total fish length mm =" 70
"fish mass g =" 99
"number of swimbladder chambers=" 1
"x,   z-upper,   z-lower,   width"
"fish body"
          70
     0.000000      10.0000     -10.0000      20.0000
      1.00000      10.0000     -10.0000      20.0000
      2.00000      10.0000     -10.0000      20.0000
      3.00000      10.0000     -10.0000      20.0000
      4.00000      10.0000     -10.0000      20.0000
      5.00000      10.0000     -10.0000      20.0000
      6.00000      10.0000     -10.0000      20.0000
      7.00000      10.0000     -10.0000      20.0000
      8.00000      10.0000     -10.0000      20.0000
      9.00000      10.0000     -10.0000      20.0000
      10.0000      10.0000     -10.0000      20.0000
      11.0000      10.0000     -10.0000      20.0000
      12.0000      10.0000     -10.0000      20.0000
      13.0000      10.0000     -10.0000      20.0000
      14.0000      10.0000     -10.0000      20.0000
      15.0000      10.0000     -10.0000      20.0000
      16.0000      10.0000     -10.0000      20.0000
      17.0000      10.0000     -10.0000      20.0000
      18.0000      10.0000     -10.0000      20.0000
      19.0000      10.0000     -10.0000      20.0000
      20.0000      10.0000     -10.0000      20.0000
      21.0000      10.0000     -10.0000      20.0000
      22.0000      10.0000     -10.0000      20.0000
      23.0000      10.0000     -10.0000      20.0000
      24.0000      10.0000     -10.0000      20.0000
      25.0000      10.0000     -10.0000      20.0000
      26.0000      10.0000     -10.0000      20.0000
      27.0000      10.0000     -10.0000      20.0000
      28.0000      10.0000     -10.0000      20.0000
      29.0000      10.0000     -10.0000      20.0000
      30.0000      10.0000     -10.0000      20.0000
      31.0000      10.0000     -10.0000      20.0000
      32.0000      10.0000     -10.0000      20.0000
      33.0000      10.0000     -10.0000      20.0000
      34.0000      10.0000     -10.0000      20.0000
      35.0000      10.0000     -10.0000      20.0000
      36.0000      10.0000     -10.0000      20.0000
      37.0000      10.0000     -10.0000      20.0000
      38.0000      10.0000     -10.0000      20.0000
      39.0000      10.0000     -10.0000      20.0000
      40.0000      10.0000     -10.0000      20.0000
      41.0000      10.0000     -10.0000      20.0000
      42.0000      10.0000     -10.0000      20.0000
      43.0000      10.0000     -10.0000      20.0000
      44.0000      10.0000     -10.0000      20.0000
      45.0000      10.0000     -10.0000      20.0000
      46.0000      10.0000     -10.0000      20.0000
      47.0000      10.0000     -10.0000      20.0000
      48.0000      10.0000     -10.0000      20.0000
      49.0000      10.0000     -10.0000      20.0000
      50.0000      10.0000     -10.0000      20.0000
      51.0000      10.0000     -10.0000      20.0000
      52.0000      10.0000     -10.0000      20.0000
      53.0000      10.0000     -10.0000      20.0000
      54.0000      10.0000     -10.0000      20.0000
      55.0000      10.0000     -10.0000      20.0000
      56.0000      10.0000     -10.0000      20.0000
      57.0000      10.0000     -10.0000      20.0000
      58.0000      10.0000     -10.0000      20.0000
      59.0000      10.0000     -10.0000      20.0000
      60.0000      10.0000     -10.0000      20.0000
      61.0000      10.0000     -10.0000      20.0000
      62.0000      10.0000     -10.0000      20.0000
      63.0000      10.0000     -10.0000      20.0000
      64.0000      10.0000     -10.0000      20.0000
      65.0000      10.0000     -10.0000      20.0000
      66.0000      10.0000     -10.0000      20.0000
      67.0000      10.0000     -10.0000      20.0000
      68.0000      10.0000     -10.0000      20.0000
      69.0000      10.0000     -10.0000      20.0000
      70.0000      10.0000     -10.0000      20.0000
"swimbladder chamber 1"
          70
     0.000000      10.0000     -10.0000      20.0000
      1.00000      10.0000     -10.0000      20.0000
      2.00000      10.0000     -10.0000      20.0000
      3.00000      10.0000     -10.0000      20.0000
      4.00000      10.0000     -10.0000      20.0000
      5.00000      10.0000     -10.0000      20.0000
      6.00000      10.0000     -10.0000      20.0000
      7.00000      10.0000     -10.0000      20.0000
      8.00000      10.0000     -10.0000      20.0000
      9.00000      10.0000     -10.0000      20.0000
      10.0000      10.0000     -10.0000      20.0000
      11.0000      10.0000     -10.0000      20.0000
      12.0000      10.0000     -10.0000      20.0000
      13.0000      10.0000     -10.0000      20.0000
      14.0000      10.0000     -10.0000      20.0000
      15.0000      10.0000     -10.0000      20.0000
      16.0000      10.0000     -10.0000      20.0000
      17.0000      10.0000     -10.0000      20.0000
      18.0000      10.0000     -10.0000      20.0000
      19.0000      10.0000     -10.0000      20.0000
      20.0000      10.0000     -10.0000      20.0000
      21.0000      10.0000     -10.0000      20.0000
      22.0000      10.0000     -10.0000      20.0000
      23.0000      10.0000     -10.0000      20.0000
      24.0000      10.0000     -10.0000      20.0000
      25.0000      10.0000     -10.0000      20.0000
      26.0000      10.0000     -10.0000      20.0000
      27.0000      10.0000     -10.0000      20.0000
      28.0000      10.0000     -10.0000      20.0000
      29.0000      10.0000     -10.0000      20.0000
      30.0000      10.0000     -10.0000      20.0000
      31.0000      10.0000     -10.0000      20.0000
      32.0000      10.0000     -10.0000      20.0000
      33.0000      10.0000     -10.0000      20.0000
      34.0000      10.0000     -10.0000      20.0000
      35.0000      10.0000     -10.0000      20.0000
      36.0000      10.0000     -10.0000      20.0000
      37.0000      10.0000     -10.0000      20.0000
      38.0000      10.0000     -10.0000      20.0000
      39.0000      10.0000     -10.0000      20.0000
      40.0000      10.0000     -10.0000      20.0000
      41.0000      10.0000     -10.0000      20.0000
      42.0000      10.0000     -10.0000      20.0000
      43.0000      10.0000     -10.0000      20.0000
      44.0000      10.0000     -10.0000      20.0000
      45.0000      10.0000     -10.0000      20.0000
      46.0000      10.0000     -10.0000      20.0000
      47.0000      10.0000     -10.0000      20.0000
      48.0000      10.0000     -10.0000      20.0000
      49.0000      10.0000     -10.0000      20.0000
      50.0000      10.0000     -10.0000      20.0000
      51.0000      10.0000     -10.0000      20.0000
      52.0000      10.0000     -10.0000      20.0000
      53.0000      10.0000     -10.0000      20.0000
      54.0000      10.0000     -10.0000      20.0000
      55.0000      10.0000     -10.0000      20.0000
      56.0000      10.0000     -10.0000      20.0000
      57.0000      10.0000     -10.0000      20.0000
      58.0000      10.0000     -10.0000      20.0000
      59.0000      10.0000     -10.0000      20.0000
      60.0000      10.0000     -10.0000      20.0000
      61.0000      10.0000     -10.0000      20.0000
      62.0000      10.0000     -10.0000      20.0000
      63.0000      10.0000     -10.0000      20.0000
      64.0000      10.0000     -10.0000      20.0000
      65.0000      10.0000     -10.0000      20.0000
      66.0000      10.0000     -10.0000      20.0000
      67.0000      10.0000     -10.0000      20.0000
      68.0000      10.0000     -10.0000      20.0000
      69.0000      10.0000     -10.0000      20.0000
      70.0000      10.0000     -10.0000      20.0000
"Finite cylinder 7:1"
