"Lavnun 1, Lake Kinneret, Apr. 98 rotated"
"total fish length mm =" 113
"fish mass g =" 10.82
"number of swimbladder chambers=" 2
"x,   z-upper,   z-lower,   width"
"fish body"
     100
      0.00000      0.00000      0.00000      0.00000
      1.00000      1.83907     -2.06719      2.34146
      2.00000      2.74062     -3.35313      3.95122
      3.00000      2.93906     -4.17032      4.97561
      4.00000      3.05937     -4.75313      5.92683
      5.00000      3.25782     -5.10156      6.87805
      6.00000      3.45624     -5.45000      7.68292
      7.00000      3.65469     -5.95469      8.34146
      8.00000      3.77500     -6.45938      8.92683
      9.00000      3.89531     -6.80781      9.43902
      10.0000      4.09375     -7.15625      9.73170
      11.0000      4.29218     -7.58282      9.87805
      12.0000      4.49063     -7.93125      9.95122
      13.0000      4.68906     -8.20156      9.87805
      14.0000      4.88750     -8.47188      9.80488
      15.0000      5.08593     -8.74219      9.87805
      16.0000      5.28438     -9.01250      9.95122
      17.0000      5.48281     -9.28281      9.95122
      18.0000      5.75938     -9.55313      10.0244
      19.0000      6.03594     -9.82344      10.1707
      20.0000      6.23437     -10.0156      10.2439
      21.0000      6.43282     -10.0516      10.2439
      22.0000      6.63125     -10.0875      10.3171
      23.0000      6.82969     -10.2016      10.4634
      24.0000      6.95000     -10.2375      10.6098
      25.0000      6.99219     -10.2734      10.7561
      26.0000      7.11250     -10.3875      10.8293
      27.0000      7.31094     -10.5015      10.8293
      28.0000      7.43125     -10.6157      10.9024
      29.0000      7.47344     -10.7297      11.0488
      30.0000      7.51562     -10.8438      11.1951
      31.0000      7.55781     -10.8797      11.3415
      32.0000      7.67812     -10.9156      11.4146
      33.0000      7.87657     -11.0297      11.3415
      34.0000      7.99687     -11.0656      11.1951
      35.0000      8.03906     -11.1015      11.1219
      36.0000      8.08125     -11.2156      11.1219
      37.0000      8.12344     -11.2516      11.0488
      38.0000      8.16562     -11.2875      10.9024
      39.0000      8.20781     -11.4016      10.8293
      40.0000      8.25000     -11.4375      10.9024
      41.0000      8.29219     -11.3953      11.0488
      42.0000      8.25626     -11.4312      11.0488
      43.0000      8.14218     -11.5453      10.9024
      44.0000      8.10625     -11.5813      10.8293
