"Lavnun 3, Lake Kinneret, Apr. 98"
"total fish length mm =" 149
"fish mass g =" 18.61
"number of swimbladder chambers=" 2
"x,   z-upper,   z-lower,   width"
"fish body"
         126
      0.00000      0.00000      0.00000      0.00000
      1.00000      1.51143     -2.00164      2.25000
      2.00000      2.36928     -3.10458      3.75000
      3.00000      2.85947     -3.83987      5.00000
      4.00000      3.34967     -4.65687      6.16667
      5.00000      3.75816     -5.39216      7.08333
      6.00000      4.08496     -6.04575      7.91667
      7.00000      4.41176     -6.69935      8.66667
      8.00000      4.73856     -7.35294      9.33333
      9.00000      5.06535     -7.92484      10.0000
      10.0000      5.39215     -8.33334      10.6667
      11.0000      5.71895     -8.57844      11.3333
      12.0000      6.04575     -8.74183      12.0833
      13.0000      6.45424     -8.98693      12.8333
      14.0000      6.94444     -9.31373      13.3333
      15.0000      7.35294     -9.64053      13.5833
      16.0000      7.67973     -9.88562      13.6667
      17.0000      8.00653     -10.0490      13.6667
      18.0000      8.33333     -10.2124      13.7500
      19.0000      8.66013     -10.3758      14.0000
      20.0000      8.98692     -10.5392      14.3333
      21.0000      9.31372     -10.7026      14.5833
      22.0000      9.64052     -10.9477      14.7500
      23.0000      9.96732     -11.1928      14.9167
      24.0000      10.2941     -11.3562      15.0000
      25.0000      10.5392     -11.5196      15.0000
      26.0000      10.7026     -11.6013      15.0000
      27.0000      10.8660     -11.6013      14.9167
      28.0000      11.0294     -11.6013      14.6667
      29.0000      11.1928     -11.6013      14.4167
      30.0000      11.3562     -11.6013      14.3333
      31.0000      11.5196     -11.6830      14.2500
      32.0000      11.6013     -11.8464      14.0833
      33.0000      11.6830     -11.9281      13.9167
      34.0000      11.8464     -11.9281      13.7500
      35.0000      12.0098     -11.9281      13.5833
      36.0000      12.1732     -11.9281      13.4167
      37.0000      12.2549     -11.9281      13.3333
      38.0000      12.2549     -11.9281      13.2500
      39.0000      12.2549     -11.9281      13.0833
      40.0000      12.2549     -11.9281      13.0833
      41.0000      12.2549     -11.9281      13.2500
      42.0000      12.2549     -12.0098      13.3333
      43.0000      12.2549     -12.1732      13.3333
      44.0000      12.2549     -12.1732      13.3333
      45.0000      12.2549     -12.0915      13.4167
      46.0000      12.2549     -12.1732      13.5833
      47.0000      12.2549     -12.2549      13.6667
      48.0000      12.2549     -12.2549      13.6667
      49.0000      12.2549     -12.2549      13.5833
      50.0000      12.2549     -12.2549      13.4167
      51.0000      12.2549     -12.2549      13.3333
      52.0000      12.2549     -12.3366      13.3333
      53.0000      12.1732     -12.5000      13.3333
      54.0000      12.0098     -12.5817      13.2500
      55.0000      11.9281     -12.5817      13.0833
      56.0000      11.9281     -12.5817      13.0000
      57.0000      11.9281     -12.5817      13.0000
      58.0000      11.9281     -12.5817      12.9167
      59.0000      11.9281     -12.5817      12.7500
      60.0000      11.8464     -12.5817      12.6667
      61.0000      11.7239     -12.6226      12.6250
      62.0000      11.6422     -12.7043      12.5000
      63.0000      11.5196     -12.7451      12.3750
      64.0000      11.4379     -12.7451      12.3333
      65.0000      11.3562     -12.7451      12.2500
      66.0000      11.1111     -12.7451      12.0833
      67.0000      10.8660     -12.7451      11.9167
      68.0000      10.7026     -12.6634      11.7500
      69.0000      10.5392     -12.5000      11.5833
      70.0000      10.3758     -12.4183      11.3333
      71.0000      10.1307     -12.4183      11.0833
      72.0000      9.88562     -12.4183      10.9167
      73.0000      9.72222     -12.4183      10.7500
      74.0000      9.55882     -12.3366      10.5833
      75.0000      9.39542     -12.1732      10.4167
      76.0000      9.23202     -12.0915      10.3333
      77.0000      9.06862     -12.0915      10.3333
      78.0000      8.90522     -12.0915      10.2500
      79.0000      8.74183     -12.0098      10.0833
      80.0000      8.49673     -11.8464      10.0000
      81.0000      8.25163     -11.7647      10.0000
      82.0000      8.08823     -11.7647      10.0000
      83.0000      7.84313     -11.7647      9.91667
      84.0000      7.59803     -11.6830      9.75000
      85.0000      7.43464     -11.5196      9.66667
      86.0000      7.27124     -11.3562      9.66667
      87.0000      7.10784     -11.1928      9.58333
      88.0000      6.94444     -11.1111      9.41667
      89.0000      6.86274     -11.0294      9.25000
      90.0000      6.78104     -10.8660      9.08333
      91.0000      6.61764     -10.7843      8.91667
      92.0000      6.53594     -10.7026      8.66667
      93.0000      6.45424     -10.4575      8.33333
      94.0000      6.29085     -10.2124      8.00000
      95.0000      6.20915     -10.0490      7.75000
      96.0000      6.12745     -9.88562      7.66667
      97.0000      5.96405     -9.72222      7.58333
      98.0000      5.80065     -9.47713      7.41667
      99.0000      5.63725     -9.23203      7.33333
      100.000      5.47385     -8.98693      7.25000
      101.000      5.31045     -8.57844      7.08333
      102.000      5.22875     -8.16994      7.00000
      103.000      5.22875     -7.84314      7.00000
      104.000      5.22875     -7.51634      6.91667
      105.000      5.14705     -7.18955      6.75000
      106.000      4.98366     -6.94445      6.66667
      107.000      4.90196     -6.78105      6.58333
      108.000      4.82026     -6.61765      6.41667
      109.000      4.65686     -6.53595      6.33333
      110.000      4.57516     -6.53595      6.25000
      111.000      4.49346     -6.53595      6.08333
      112.000      4.33006     -6.53595      6.00000
      113.000      4.24836     -6.53595      6.00000
      114.000      4.16666     -6.53595      5.83333
      115.000      4.08496     -6.61765      5.50000
      116.000      4.16666     -6.78105      5.33334
      117.000      4.24836     -6.86275      5.16667
      118.000      4.24836     -6.94445      4.83333
      119.000      4.24836     -7.10785      4.50000
      120.000      4.24836     -7.18955      4.08333
      121.000      4.24836     -7.18955      3.75000
      122.000      4.16666     -7.02615      3.50000
      123.000      3.92156     -6.53595      3.00000
      124.000      3.51307     -5.71896      2.41667
      125.000      2.27941     -3.84804      1.58333
      126.000    -0.359478    -0.359478      0.00000
"swimbladder chamber 1"
          16
      37.0000   -0.0861542   -0.0861542      0.00000
      38.0000      1.50589     -2.43381      4.93264
      39.0000      2.13430     -3.65465      6.70984
      40.0000      2.25490     -4.21746      6.85492
      41.0000      2.25490     -4.57927      6.85492
      42.0000      2.13430     -4.78028      6.85492
      43.0000      1.97349     -4.98128      6.92746
      44.0000      1.81269     -5.22249      6.92746
      45.0000      1.65188     -5.46369      6.81865
      46.0000      1.53128     -5.66470      6.70984
      47.0000      1.45088     -5.74510      6.63731
      48.0000      1.37048     -5.74510      6.52850
      49.0000      1.29007     -5.74510      6.31088
      50.0000      1.20967     -5.70490      5.83938
      51.0000      1.12927     -5.38329      5.04145
      52.0000     0.503703     -3.99881      3.30052
      53.0000     -1.19486     -1.19486      0.00000
"swimbladder chamber 2"
          18
      55.0000     -6.29408     -6.29408      0.00000
      56.0000    -0.702244     -7.53558      5.30233
      57.0000      1.25490     -7.74510      7.58140
      58.0000      1.14379     -7.57843      7.95349
      59.0000     0.921565     -7.46732      8.00000
      60.0000     0.754898     -7.35621      7.90698
      61.0000     0.643787     -7.24510      7.53488
      62.0000     0.477121     -7.13399      6.88372
      63.0000     0.254899     -7.02288      6.18605
      64.0000   -0.0228792     -6.91177      5.72093
      65.0000    -0.411769     -6.85621      5.53488
      66.0000    -0.800657     -6.80066      5.48837
      67.0000     -1.13399     -6.68955      5.48837
