<meta>

    Title = Trematomus 02 - eulepidotus 120mm
    Fish_Length =  122.00
    Fish_Mass =  -99.00
    nsb =  0
    Bladder_Type =  1
    Rotated = u
    Smoothed[lfb,dfb,lsb,dsb] =   0,  0
    Images = L:\fishdat\trematomus\trematomus_eulepidotus_120mm-S1.gif,L:\fishdat\trematomus\trematomus_eulepidotus_120mm-D1.gif
    Preparer = B. Bell and M. Jech from jpegs by Kendra Daly

    raw data

    File created: Sat Jul 13 18:49:41 2002

</meta>
       x       z-upper   z-lower   width      stbd      port
fish body
     122
      0.00      0.00      0.00      0.00      0.25      0.25
      1.00      2.55     -2.85      5.36      2.99     -2.37
      2.00      3.98     -4.47      8.43      4.49     -3.94
      3.00      4.77     -5.37     10.22      5.27     -4.95
      4.00      5.42     -6.11     11.75      5.91     -5.84
      5.00      5.98     -6.77     12.94      6.47     -6.47
      6.00      6.48     -7.39     13.85      6.95     -6.90
      7.00      6.91     -7.95     14.61      7.36     -7.25
      8.00      7.29     -8.45     15.28      7.75     -7.53
      9.00      7.65     -8.95     15.87      8.09     -7.77
     10.00      7.96     -9.46     16.37      8.38     -7.99
     11.00      8.22     -9.98     16.83      8.64     -8.19
     12.00      8.47    -10.50     17.27      8.88     -8.39
     13.00      8.70    -11.03     17.69      9.10     -8.59
     14.00      8.90    -11.57     18.10      9.30     -8.80
     15.00      9.09    -12.17     18.47      9.47     -9.00
     16.00      9.27    -12.88     18.75      9.60     -9.15
     17.00      9.44    -13.68     18.97      9.71     -9.26
     18.00      9.58    -14.42     19.20      9.83     -9.38
     19.00      9.71    -14.95     19.39      9.92     -9.47
     20.00      9.82    -15.30     19.50      9.96     -9.54
     21.00      9.91    -15.58     19.60      9.99     -9.62
     22.00     10.00    -15.81     19.69     10.00     -9.69
     23.00     10.08    -16.04     19.72      9.99     -9.73
     24.00     10.15    -16.31     19.70      9.93     -9.77
     25.00     10.19    -16.62     19.68      9.85     -9.83
     26.00     10.22    -17.01     19.64      9.76     -9.87
     27.00     10.26    -17.60     19.58      9.68     -9.90
     28.00     10.27    -18.35     19.52      9.59     -9.93
     29.00     10.27    -19.03     19.43      9.49     -9.95
     30.00     10.27    -19.45     19.35      9.39     -9.96
     31.00     10.29    -19.69     19.29      9.31     -9.99
     32.00     10.32    -19.85     19.21      9.21    -10.00
     33.00     10.33    -20.00     19.11      9.11    -10.00
     34.00     10.33    -20.16     19.02      9.02    -10.00
     35.00     10.33    -20.29     18.92      8.92    -10.00
     36.00     10.33    -20.38     18.80      8.82     -9.98
     37.00     10.33    -20.46     18.69      8.73     -9.95
     38.00     10.33    -20.52     18.56      8.63     -9.92
     39.00     10.33    -20.56     18.43      8.53     -9.89
     40.00     10.33    -20.59     18.32      8.45     -9.87
     41.00     10.33    -20.60     18.19      8.37     -9.82
     42.00     10.33    -20.60     18.06      8.28     -9.78
     43.00     10.35    -20.59     17.93      8.18     -9.75
     44.00     10.38    -20.54     17.79      8.08     -9.71
     45.00     10.40    -20.48     17.64      7.99     -9.65
     46.00     10.40    -20.43     17.50      7.89     -9.60
     47.00     10.40    -20.40     17.37      7.80     -9.57
     48.00     10.40    -20.35     17.24      7.71     -9.53
