"Walleye Pollock 17, Newport  OR, cl=390"
"total fish length mm =" 390
"fish mass g =" 999
"number of swimbladder chambers=" 1
"x,   z-upper,   z-lower,   width"
"fish body"
         390
     0.000000     0.000000     0.000000     0.000000
      1.00000      8.33101     -4.50696      5.01781
      2.00000      12.2917     -6.96529      8.21883
      3.00000      13.6574     -8.19446      10.1221
      4.00000      14.6134     -9.01390      11.4198
      5.00000      15.4329     -9.42362      12.3715
      6.00000      16.2523     -9.83334      13.1501
      7.00000      17.0717     -10.3796      13.8422
      8.00000      17.7546     -10.7894      14.5343
      9.00000      18.1643     -11.0625      15.2265
      10.0000      18.5741     -11.6088      15.9186
      11.0000      19.1204     -12.4283      16.5242
      12.0000      19.6667     -13.1111      17.0433
      13.0000      20.0764     -13.6574      17.4758
      14.0000      20.3495     -14.2037      17.9084
      15.0000      20.6227     -14.7500      18.4275
      16.0000      20.8958     -15.2963      18.7735
      17.0000      21.1690     -15.7060      19.2061
      18.0000      21.4421     -15.8426      19.8982
      19.0000      21.8518     -15.9792      20.4173
      20.0000      22.2616     -16.3889      20.6768
      21.0000      22.3981     -16.9352      20.9364
      22.0000      22.5347     -17.3449      21.3690
      23.0000      22.8079     -17.7546      21.8015
      24.0000      22.9444     -18.3009      22.1476
      25.0000      23.0810     -18.8472      22.5802
      26.0000      23.3541     -19.3935      23.0127
      27.0000      23.4907     -19.8033      23.1857
      28.0000      23.4907     -20.2130      23.3588
      29.0000      23.4907     -20.7593      23.7913
      30.0000      23.6273     -21.3056      24.2239
      31.0000      23.9004     -21.9884      24.6565
      32.0000      24.0370     -22.6713      25.0025
      33.0000      24.0370     -23.0810      25.0891
      34.0000      24.0370     -23.4908      25.1756
      35.0000      24.0370     -24.1736      25.4351
      36.0000      24.1736     -24.9931      25.9542
      37.0000      24.4467     -25.5394      26.6463
      38.0000      24.5833     -25.8125      27.1654
      39.0000      24.5833     -26.2222      27.4249
      40.0000      24.7199     -26.7685      27.5980
      41.0000      24.9930     -27.3148      27.8575
      42.0000      25.1296     -27.7245      28.3766
      43.0000      25.1296     -27.9977      28.9822
      44.0000      25.2662     -28.5440      29.5878
      45.0000      25.5393     -29.2269      30.1934
      46.0000      25.6759     -29.6366      30.5394
      47.0000      25.8125     -30.0463      30.7990
      48.0000      26.0856     -30.5926      31.2315
      49.0000      26.2222     -31.0023      31.8371
      50.0000      26.3588     -31.2755      32.4427
      51.0000      26.6319     -31.5486      32.7023
      52.0000      26.9051     -31.9583      32.7888
      53.0000      27.1782     -32.5046      33.0483
      54.0000      27.4514     -32.9144      33.3944
      55.0000      27.7245     -33.3241      33.7405
      56.0000      27.9977     -33.8704      34.0865
